Week,Agegroup,Tested positive,Total tested,Group,Agerange,Percentage
202028,0 - 6,25,7033,Kinderen,0 - 12,0.355
202028,7 - 12,50,19446,Basisschool,0 - 12,0.257
202028,13 - 18,97,8661,Pubers,13 - 24,1.12
202030,0 - 6,5,898,Kinderen,0 - 12,0.557
202030,7 - 12,23,6221,Basisschool,0 - 12,0.37
202030,13 - 18,61,4864,Pubers,13 - 24,1.254
202031,0 - 6,5,936,Kinderen,0 - 12,0.534
202031,7 - 12,21,5099,Basisschool,0 - 12,0.412
202031,13 - 18,92,6320,Pubers,13 - 24,1.456
202032,0 - 6,3,394,Kinderen,0 - 12,0.761
202032,7 - 12,17,1510,Basisschool,0 - 12,1.126
202032,13 - 18,68,3586,Pubers,13 - 24,1.896
202033,0 - 6,5,443,Kinderen,0 - 12,1.129
202033,7 - 12,46,1712,Basisschool,0 - 12,2.687
202033,13 - 18,148,4135,Pubers,13 - 24,3.579
202034,0 - 6,7,538,Kinderen,0 - 12,1.301
202034,7 - 12,34,2602,Basisschool,0 - 12,1.307
202034,13 - 18,176,7172,Pubers,13 - 24,2.454
202035,0 - 6,10,730,Kinderen,0 - 12,1.37
202035,7 - 12,36,4491,Basisschool,0 - 12,0.802
202035,13 - 18,163,8210,Pubers,13 - 24,1.985
202036,0 - 6,8,947,Kinderen,0 - 12,0.845
202036,7 - 12,33,6621,Basisschool,0 - 12,0.498
202036,13 - 18,158,10201,Pubers,13 - 24,1.549
202037,0 - 6,97,12863,Kinderen,0 - 12,0.754
202037,7 - 12,343,57109,Basisschool,0 - 12,0.601
202037,13 - 18,1367,76340,Pubers,13 - 24,1.791
202038,0 - 6,18,1214,Kinderen,0 - 12,1.483
202038,7 - 12,142,12720,Basisschool,0 - 12,1.116
202038,13 - 18,421,21639,Pubers,13 - 24,1.946
202039,0 - 6,11,829,Kinderen,0 - 12,1.327
202039,7 - 12,180,10010,Basisschool,0 - 12,1.798
202039,13 - 18,689,22762,Pubers,13 - 24,3.027
202040,0 - 4,53,4246,Kinderen,0 - 12,1.248
202040,5 - 9,204,19003,Basisschool,0 - 12,1.074
202040,10 - 14,791,52336,Basisschool,groep 7/8 + brugklas,1.511
202040,15 - 19,3140,86682,Pubers,13 - 24,3.622
202040,20 - 24,5318,109095,Jongvolwassenen,13 - 24,4.875
202040,25 - 29,3845,113313,Jongvolwassenen,25 - 39,3.393
202040,30 - 34,2892,121972,Volwassenen,25 - 39,2.371
202040,35 - 39,2317,109946,Volwassenen,25 - 39,2.107
202040,40 - 44,2102,88322,Volwassenen,40 - 49,2.38
202040,45 - 49,2260,73872,Volwassenen,40 - 49,3.059
202040,50 - 54,2414,67547,Volwassenen,50 - 59,3.574
202040,55 - 59,1798,61039,Volwassenen,50 - 59,2.946
202040,60 - 64,1242,53519,Volwassenen,60 - 69,2.321
202040,65 - 69,675,37343,Volwassenen,60 - 69,1.808
202040,70 - 74,472,25448,70 en ouder,70 en ouder,1.855
202040,75 - 79,237,13223,70 en ouder,70 en ouder,1.792
202040,80 - 84,146,7015,70 en ouder,70 en ouder,2.081
202040,85 - 89,76,2966,70 en ouder,70 en ouder,2.562
202040,90 - 94,28,987,70 en ouder,70 en ouder,2.837
202040,95 en ouder,5,192,95 en ouder,70 en ouder,2.604
