Date,Week,Agegroup,Tested positive,Total tested,Group,Agerange,Percentage
2020-07-07,202028,0 - 6,25,7033,Kinderen,0 - 12,0.355
2020-07-07,202028,7 - 12,50,19446,Basisschool,0 - 12,0.257
2020-07-07,202028,13 - 18,97,8661,Pubers,13 - 24,1.12
2020-07-21,202030,0 - 6,5,898,Kinderen,0 - 12,0.557
2020-07-21,202030,7 - 12,23,6221,Basisschool,0 - 12,0.37
2020-07-21,202030,13 - 18,61,4864,Pubers,13 - 24,1.254
2020-07-28,202031,0 - 6,5,936,Kinderen,0 - 12,0.534
2020-07-28,202031,7 - 12,21,5099,Basisschool,0 - 12,0.412
2020-07-28,202031,13 - 18,92,6320,Pubers,13 - 24,1.456
2020-08-04,202032,0 - 6,3,394,Kinderen,0 - 12,0.761
2020-08-04,202032,7 - 12,17,1510,Basisschool,0 - 12,1.126
2020-08-04,202032,13 - 18,68,3586,Pubers,13 - 24,1.896
2020-08-11,202033,0 - 6,5,443,Kinderen,0 - 12,1.129
2020-08-11,202033,7 - 12,46,1712,Basisschool,0 - 12,2.687
2020-08-11,202033,13 - 18,148,4135,Pubers,13 - 24,3.579
2020-08-18,202034,0 - 6,7,538,Kinderen,0 - 12,1.301
2020-08-18,202034,7 - 12,34,2602,Basisschool,0 - 12,1.307
2020-08-18,202034,13 - 18,176,7172,Pubers,13 - 24,2.454
2020-08-25,202035,0 - 6,10,730,Kinderen,0 - 12,1.37
2020-08-25,202035,7 - 12,36,4491,Basisschool,0 - 12,0.802
2020-08-25,202035,13 - 18,163,8210,Pubers,13 - 24,1.985
2020-09-01,202036,0 - 6,8,947,Kinderen,0 - 12,0.845
2020-09-01,202036,7 - 12,33,6621,Basisschool,0 - 12,0.498
2020-09-01,202036,13 - 18,158,10201,Pubers,13 - 24,1.549
2020-09-08,202037,0 - 6,97,12863,Kinderen,0 - 12,0.754
2020-09-08,202037,7 - 12,343,57109,Basisschool,0 - 12,0.601
2020-09-08,202037,13 - 18,1367,76340,Pubers,13 - 24,1.791
2020-09-15,202038,0 - 6,18,1214,Kinderen,0 - 12,1.483
2020-09-15,202038,7 - 12,142,12720,Basisschool,0 - 12,1.116
2020-09-15,202038,13 - 18,421,21639,Pubers,13 - 24,1.946
2020-09-22,202039,0 - 6,11,829,Kinderen,0 - 12,1.327
2020-09-22,202039,7 - 12,180,10010,Basisschool,0 - 12,1.798
2020-09-22,202039,13 - 18,689,22762,Pubers,13 - 24,3.027
2020-09-29,202040,0 - 4,53,4246,Kinderen,0 - 12,1.248
2020-09-29,202040,5 - 9,204,19003,Basisschool,0 - 12,1.074
2020-09-29,202040,10 - 14,791,52336,Basisschool,groep 7/8 + brugklas,1.511
2020-09-29,202040,15 - 19,3140,86682,Pubers,13 - 24,3.622
2020-09-29,202040,20 - 24,5318,109095,Jongvolwassenen,13 - 24,4.875
2020-09-29,202040,25 - 29,3845,113313,Jongvolwassenen,25 - 39,3.393
2020-09-29,202040,30 - 34,2892,121972,Volwassenen,25 - 39,2.371
2020-09-29,202040,35 - 39,2317,109946,Volwassenen,25 - 39,2.107
2020-09-29,202040,40 - 44,2102,88322,Volwassenen,40 - 49,2.38
2020-09-29,202040,45 - 49,2260,73872,Volwassenen,40 - 49,3.059
2020-09-29,202040,50 - 54,2414,67547,Volwassenen,50 - 59,3.574
2020-09-29,202040,55 - 59,1798,61039,Volwassenen,50 - 59,2.946
2020-09-29,202040,60 - 64,1242,53519,Volwassenen,60 - 69,2.321
2020-09-29,202040,65 - 69,675,37343,Volwassenen,60 - 69,1.808
2020-09-29,202040,70 - 74,472,25448,70 en ouder,70 en ouder,1.855
2020-09-29,202040,75 - 79,237,13223,70 en ouder,70 en ouder,1.792
2020-09-29,202040,80 - 84,146,7015,70 en ouder,70 en ouder,2.081
2020-09-29,202040,85 - 89,76,2966,70 en ouder,70 en ouder,2.562
2020-09-29,202040,90 - 94,28,987,70 en ouder,70 en ouder,2.837
2020-09-29,202040,95 en ouder,5,192,95 en ouder,70 en ouder,2.604
2020-10-06,202041,0 - 4,59,4312,Kinderen,0 - 12,1.368
2020-10-06,202041,5 - 9,226,19202,Basisschool,0 - 12,1.177
2020-10-06,202041,10 - 14,993,56469,Basisschool,groep 7/8 + brugklas,1.758
2020-10-06,202041,15 - 19,4005,97357,Pubers,13 - 24,4.114
2020-10-06,202041,20 - 24,6589,119737,Jongvolwassenen,13 - 24,5.503
2020-10-06,202041,25 - 29,4747,123059,Jongvolwassenen,25 - 39,3.857
2020-10-06,202041,30 - 34,3523,131536,Volwassenen,25 - 39,2.678
2020-10-06,202041,35 - 39,2877,118785,Volwassenen,25 - 39,2.422
2020-10-06,202041,40 - 44,2693,96234,Volwassenen,40 - 49,2.798
2020-10-06,202041,45 - 49,2920,81424,Volwassenen,40 - 49,3.586
2020-10-06,202041,50 - 54,3122,74425,Volwassenen,50 - 59,4.195
2020-10-06,202041,55 - 59,2331,66538,Volwassenen,50 - 59,3.503
2020-10-06,202041,60 - 64,1609,57745,Volwassenen,60 - 69,2.786
2020-10-06,202041,65 - 69,891,39926,Volwassenen,60 - 69,2.232
2020-10-06,202041,70 - 74,627,27080,70 en ouder,70 en ouder,2.315
2020-10-06,202041,75 - 79,317,13997,70 en ouder,70 en ouder,2.265
2020-10-06,202041,80 - 84,192,7431,70 en ouder,70 en ouder,2.584
2020-10-06,202041,85 - 89,100,3185,70 en ouder,70 en ouder,3.14
2020-10-06,202041,90 - 94,41,1058,70 en ouder,70 en ouder,3.875
2020-10-06,202041,95 en ouder,9,215,95 en ouder,70 en ouder,4.186
2020-10-13,202042,0 - 4,75,4453,Kinderen,0 - 12,1.684
2020-10-13,202042,5 - 9,305,19728,Basisschool,0 - 12,1.546
2020-10-13,202042,10 - 14,1693,64010,Basisschool,groep 7/8 + brugklas,2.645
2020-10-13,202042,15 - 19,6421,117602,Pubers,13 - 24,5.46
2020-10-13,202042,20 - 24,9688,140878,Jongvolwassenen,13 - 24,6.877
2020-10-13,202042,25 - 29,7150,143489,Jongvolwassenen,25 - 39,4.983
2020-10-13,202042,30 - 34,5481,151804,Volwassenen,25 - 39,3.611
2020-10-13,202042,35 - 39,4618,137288,Volwassenen,25 - 39,3.364
2020-10-13,202042,40 - 44,4515,112622,Volwassenen,40 - 49,4.009
2020-10-13,202042,45 - 49,4978,97113,Volwassenen,40 - 49,5.126
2020-10-13,202042,50 - 54,5361,89455,Volwassenen,50 - 59,5.993
2020-10-13,202042,55 - 59,4108,78874,Volwassenen,50 - 59,5.208
2020-10-13,202042,60 - 64,2907,67668,Volwassenen,60 - 69,4.296
2020-10-13,202042,65 - 69,1649,46208,Volwassenen,60 - 69,3.569
2020-10-13,202042,70 - 74,1199,31302,70 en ouder,70 en ouder,3.83
2020-10-13,202042,75 - 79,650,16098,70 en ouder,70 en ouder,4.038
2020-10-13,202042,80 - 84,381,8611,70 en ouder,70 en ouder,4.425
2020-10-13,202042,85 - 89,201,3740,70 en ouder,70 en ouder,5.374
2020-10-13,202042,90 - 94,80,1266,70 en ouder,70 en ouder,6.319
2020-10-13,202042,95 en ouder,30,325,95 en ouder,70 en ouder,9.231
2020-10-20,202043,0 - 4,98,4629,Kinderen,0 - 12,2.117
2020-10-20,202043,5 - 9,399,20404,Basisschool,0 - 12,1.955
2020-10-20,202043,10 - 14,2357,68858,Basisschool,groep 7/8 + brugklas,3.423
2020-10-20,202043,15 - 19,8535,131887,Pubers,13 - 24,6.471
2020-10-20,202043,20 - 24,12346,159075,Jongvolwassenen,13 - 24,7.761
2020-10-20,202043,25 - 29,9372,162503,Jongvolwassenen,25 - 39,5.767
2020-10-20,202043,30 - 34,7455,171460,Volwassenen,25 - 39,4.348
2020-10-20,202043,35 - 39,6362,154817,Volwassenen,25 - 39,4.109
2020-10-20,202043,40 - 44,6348,127729,Volwassenen,40 - 49,4.97
2020-10-20,202043,45 - 49,6997,110745,Volwassenen,40 - 49,6.318
2020-10-20,202043,50 - 54,7501,102808,Volwassenen,50 - 59,7.296
2020-10-20,202043,55 - 59,5829,90257,Volwassenen,50 - 59,6.458
2020-10-20,202043,60 - 64,4086,76610,Volwassenen,60 - 69,5.334
