Datum,IC_Bedden_COVID,IC_Bedden_Non_COVID,Kliniek_Bedden,IC_Nieuwe_Opnames_COVID,Kliniek_Nieuwe_Opnames_COVID
26-07-2021,140.0,527.0,437.0,17.0,75.0
25-07-2021,134.0,531.0,399.0,16.0,71.0
24-07-2021,116.0,546.0,388.0,17.0,72.0
23-07-2021,107.0,578.0,370.0,7.0,77.0
22-07-2021,107.0,581.0,329.0,11.0,61.0
21-07-2021,106.0,573.0,322.0,13.0,65.0
20-07-2021,100.0,543.0,315.0,20.0,76.0
19-07-2021,84.0,527.0,277.0,9.0,54.0
18-07-2021,76.0,535.0,235.0,2.0,42.0
17-07-2021,77.0,572.0,207.0,5.0,50.0
16-07-2021,75.0,597.0,190.0,5.0,49.0
15-07-2021,72.0,613.0,158.0,3.0,35.0
14-07-2021,74.0,591.0,138.0,3.0,18.0
13-07-2021,75.0,584.0,129.0,2.0,16.0
12-07-2021,84.0,535.0,129.0,3.0,12.0
11-07-2021,88.0,561.0,118.0,4.0,9.0
10-07-2021,82.0,614.0,123.0,1.0,12.0
09-07-2021,86.0,597.0,120.0,1.0,14.0
08-07-2021,90.0,606.0,106.0,1.0,9.0
07-07-2021,104.0,607.0,102.0,0.0,8.0
06-07-2021,103.0,583.0,109.0,2.0,8.0
05-07-2021,110.0,575.0,126.0,3.0,8.0
04-07-2021,99.0,534.0,126.0,0.0,4.0
03-07-2021,102.0,564.0,128.0,0.0,8.0
02-07-2021,108.0,577.0,140.0,0.0,11.0
01-07-2021,119.0,574.0,159.0,1.0,9.0
30-06-2021,128.0,586.0,168.0,0.0,11.0
29-06-2021,127.0,577.0,182.0,0.0,12.0
28-06-2021,142.0,516.0,189.0,4.0,8.0
27-06-2021,141.0,550.0,204.0,3.0,12.0
26-06-2021,141.0,575.0,198.0,3.0,19.0
25-06-2021,147.0,599.0,216.0,2.0,9.0
24-06-2021,158.0,571.0,234.0,1.0,11.0
23-06-2021,170.0,578.0,255.0,5.0,24.0
22-06-2021,185.0,573.0,277.0,4.0,19.0
21-06-2021,197.0,541.0,294.0,5.0,12.0
20-06-2021,,,,,
19-06-2021,,,,,
18-06-2021,218.0,565.0,315.0,4.0,32.0
17-06-2021,226.0,580.0,347.0,5.0,32.0
16-06-2021,239.0,602.0,366.0,8.0,32.0
15-06-2021,250.0,541.0,395.0,6.0,39.0
14-06-2021,263.0,524.0,418.0,8.0,24.0
13-06-2021,265.0,526.0,411.0,8.0,26.0
12-06-2021,269.0,541.0,403.0,5.0,46.0
11-06-2021,281.0,565.0,448.0,8.0,51.0
10-06-2021,297.0,554.0,486.0,11.0,40.0
09-06-2021,304.0,531.0,530.0,6.0,49.0
08-06-2021,321.0,516.0,616.0,3.0,49.0
07-06-2021,343.0,468.0,650.0,7.0,51.0
06-06-2021,344.0,503.0,654.0,11.0,47.0
05-06-2021,351.0,531.0,658.0,7.0,76.0
04-06-2021,377.0,554.0,688.0,14.0,63.0
03-06-2021,394.0,541.0,704.0,10.0,74.0
02-06-2021,420.0,518.0,769.0,8.0,69.0
01-06-2021,447.0,510.0,793.0,6.0,77.0
31-05-2021,477.0,495.0,850.0,10.0,55.0
30-05-2021,486.0,479.0,841.0,14.0,75.0
29-05-2021,499.0,522.0,853.0,17.0,93.0
28-05-2021,521.0,543.0,919.0,27.0,93.0
27-05-2021,541.0,521.0,971.0,14.0,69.0
26-05-2021,559.0,507.0,1059.0,15.0,93.0
25-05-2021,579.0,441.0,1102.0,18.0,105.0
24-05-2021,598.0,416.0,1097.0,19.0,92.0
23-05-2021,610.0,414.0,1104.0,27.0,96.0
22-05-2021,602.0,444.0,1129.0,24.0,139.0
21-05-2021,608.0,475.0,1214.0,24.0,135.0
