source,name,data
temp_json.dta,DataSet,"{'incidentie_per_100000': '5,1', 'bovengrens': '2171', 'week': '10', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '1000', 'ondergrens': '502'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '16,3', 'bovengrens': '4475', 'week': '11', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2662', 'ondergrens': '1771'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '78,6', 'bovengrens': '15510', 'week': '12', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '12857', 'ondergrens': '10767'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '107,4', 'bovengrens': '21880', 'week': '13', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '18523', 'ondergrens': '15846'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '92,2', 'bovengrens': '18798', 'week': '14', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '15705', 'ondergrens': '13301'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '71,8', 'bovengrens': '15371', 'week': '15', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '12460', 'ondergrens': '10312'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '46,5', 'bovengrens': '10157', 'week': '16', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '7937', 'ondergrens': '6319'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '38,1', 'bovengrens': '8495', 'week': '17', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '6542', 'ondergrens': '5089'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '22,4', 'bovengrens': '5259', 'week': '18', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3655', 'ondergrens': '2621'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '19,8', 'bovengrens': '5110', 'week': '19', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3380', 'ondergrens': '2370'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '20,9', 'bovengrens': '5510', 'week': '20', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '3739', 'ondergrens': '2658'}"
temp_json.dta,DataSet,"{'incidentie_per_100000': '16,2', 'bovengrens': '4054', 'week': '21', 'diagnose': 'Verdenking COVID-19', 'jaar': '2020', 'geschat_aantal': '2614', 'ondergrens': '1741'}"
