Date,prev_low,prev_avg,prev_up,population,version
2020-02-17,693,1074.0,1462,hosp,1
2020-02-18,808,1232.0,1653,hosp,1
2020-02-19,989,1461.0,1935,hosp,1
2020-02-20,1188,1718.0,2244,hosp,1
2020-02-21,1466,2071.0,2667,hosp,1
2020-02-22,1798,2485.0,3183,hosp,1
2020-02-23,2201,2940.0,3710,hosp,1
2020-02-24,2746,3610.0,4478,hosp,1
2020-02-25,3474,4503.0,5504,hosp,1
2020-02-26,4382,5576.0,6733,hosp,1
2020-02-27,5475,6938.0,8353,hosp,1
2020-02-28,7037,8697.0,10317,hosp,1
2020-02-29,8940,10866.0,12739,hosp,1
2020-03-01,11182,13451.0,15595,hosp,1
2020-03-02,13779,16539.0,19070,hosp,1
2020-03-03,16859,20184.0,23211,hosp,1
2020-03-04,20199,24206.0,27794,hosp,1
2020-03-05,24158,28896.0,33073,hosp,1
2020-03-06,27956,33712.0,38609,hosp,1
2020-03-07,32882,39629.0,45487,hosp,1
2020-03-08,38790,46745.0,53626,hosp,1
2020-03-09,43780,52981.0,61143,hosp,1
2020-03-10,47550,58059.0,67461,hosp,1
2020-03-11,51789,63857.0,74682,hosp,1
2020-03-12,55968,69472.0,81667,hosp,1
2020-03-13,59835,75346.0,89096,hosp,1
2020-03-14,64816,82979.0,98912,hosp,1
2020-03-15,71592,91364.0,109238,hosp,1
2020-03-16,79568,99770.0,119650,hosp,1
2020-03-17,88215,109572.0,130733,hosp,1
2020-03-18,96838,119161.0,140418,hosp,1
2020-03-19,105554,129732.0,152134,hosp,1
2020-03-20,112789,140522.0,165365,hosp,1
2020-03-21,119433,150613.0,177943,hosp,1
2020-03-22,124559,158602.0,189320,hosp,1
2020-03-23,126833,164237.0,198897,hosp,1
2020-03-24,127844,167255.0,204725,hosp,1
2020-03-25,126288,168222.0,207759,hosp,1
2020-03-26,121665,165953.0,208363,hosp,1
2020-03-27,116024,162347.0,206736,hosp,1
2020-03-28,110702,157709.0,204265,hosp,1
2020-03-29,104438,151000.0,198460,hosp,1
2020-03-30,98979,143943.0,191084,hosp,1
2020-03-31,93812,136844.0,182240,hosp,1
2020-04-01,89603,129945.0,173242,hosp,1
2020-04-02,84473,122715.0,163729,hosp,1
2020-04-03,79805,116522.0,155334,hosp,1
2020-04-04,76393,111007.0,147540,hosp,1
2020-04-05,72002,105094.0,140516,hosp,1
2020-04-06,67509,99129.0,132751,hosp,1
2020-04-07,63495,93420.0,125005,hosp,1
2020-04-08,60535,88544.0,118798,hosp,1
2020-04-09,56767,83608.0,112408,hosp,1
2020-04-10,52977,78841.0,106004,hosp,1
2020-04-11,50405,74668.0,100375,hosp,1
2020-04-12,47886,70645.0,95576,hosp,1
2020-04-13,45329,66594.0,89956,hosp,1
2020-04-14,42555,62787.0,84384,hosp,1
2020-04-15,40247,59425.0,79797,hosp,1
2020-04-16,37483,55823.0,75258,hosp,1
2020-04-17,34895,52427.0,71064,hosp,1
2020-04-18,32871,49470.0,67109,hosp,1
2020-04-19,31155,46695.0,63586,hosp,1
2020-04-20,29326,43943.0,59950,hosp,1
2020-04-21,27532,41368.0,56231,hosp,1
2020-04-22,26289,39140.0,53050,hosp,1
2020-04-23,24931,36987.0,50169,hosp,1
2020-04-24,23460,35104.0,47516,hosp,1
2020-04-25,22465,33549.0,45147,hosp,1
2020-04-26,21607,32245.0,43532,hosp,1
2020-04-27,20721,30783.0,41696,hosp,1
2020-04-28,19790,29376.0,39667,hosp,1
2020-04-29,19028,28057.0,37688,hosp,1
2020-04-30,18290,26947.0,36156,hosp,1
2020-05-01,17515,25972.0,34798,hosp,1
2020-05-02,16846,25141.0,33672,hosp,1
2020-05-03,16546,24496.0,32958,hosp,1
2020-05-04,16649,24277.0,32503,hosp,1
2020-05-05,16723,23938.0,31771,hosp,1
2020-05-06,16623,23626.0,31038,hosp,1
2020-05-07,16167,23121.0,30303,hosp,1
2020-05-08,15812,22691.0,29687,hosp,1
2020-05-09,15479,22348.0,29353,hosp,1
2020-05-10,14499,21629.0,28726,hosp,1
2020-05-11,13952,20977.0,28172,hosp,1
2020-05-12,13248,20189.0,27366,hosp,1
2020-05-13,12966,19473.0,26670,hosp,1
2020-05-14,12393,18609.0,25315,hosp,1
