Version,Date_of_report,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_flow_per_100000
2,2021-11-24,2020-03-30,32002,Tilburg,37636989691733.0
2,2021-11-24,2020-03-31,3010,Assen,36721342774718.0
2,2021-11-24,2020-03-31,1033,Garmerwolde,10131006194825.0
2,2021-11-24,2020-03-31,2011,Leeuwarden,11010667580938.0
2,2021-11-24,2020-03-31,1008,Stadskanaal,3395382531734.0
2,2021-11-24,2020-03-31,10009,Utrecht,32018205042971.0
2,2021-11-24,2020-03-31,4026,Zwolle,14408594289428.0
2,2021-11-24,2020-04-01,9016,Arnhem,17713516832356.0
2,2021-11-24,2020-04-01,7022,Etten,53307879052332.0
2,2021-11-24,2020-04-01,13010,Haarlem Waarderpolder,53112209660548.0
2,2021-11-24,2020-04-01,25020,Kaatsheuvel,42349335842062.0
2,2021-11-24,2020-04-01,25027,Lage Zwaluwe,17556291946309.0
2,2021-11-24,2020-04-01,13030,Leimuiden,38656746252082.0
2,2021-11-24,2020-04-01,5012,Oldenzaal,35028577916032.0
2,2021-11-24,2020-04-01,3028,Sleen,11988780143275.0
2,2021-11-24,2020-04-01,23002,Terneuzen,18534446921885.0
2,2021-11-24,2020-04-02,12022,Beverwijk,22300102789703.0
2,2021-11-24,2020-04-02,30007,Bosscherveld,67716366752356.0
2,2021-11-24,2020-04-02,30020,Venray,35333399309122.0
2,2021-11-24,2020-04-05,10027,Amersfoort,20892268312193.0
2,2021-11-24,2020-04-05,27008,S Hertogenbosch,35478279377044.0
2,2021-11-24,2020-04-05,29003,Land Van Cuijk,131413680781759.0
2,2021-11-24,2020-04-05,6004,Lelystad,12059099966164.0
2,2021-11-24,2020-04-05,23002,Terneuzen,31682098182230.0
2,2021-11-24,2020-04-05,4027,Tollebeek,33924399959442.0
2,2021-11-24,2020-04-06,28005,Dinther,91214764425836.0
2,2021-11-24,2020-04-06,32002,Tilburg,4503692795816.0
2,2021-11-24,2020-04-07,9016,Arnhem,2863362029549.0
2,2021-11-24,2020-04-07,3010,Assen,1189569892473.0
2,2021-11-24,2020-04-07,1033,Garmerwolde,21690177742518.0
2,2021-11-24,2020-04-07,13010,Haarlem Waarderpolder,47760764590408.0
2,2021-11-24,2020-04-07,2011,Leeuwarden,23484988000196.0
2,2021-11-24,2020-04-07,13030,Leimuiden,19998889505830.0
2,2021-11-24,2020-04-07,1008,Stadskanaal,620454187533.0
2,2021-11-24,2020-04-07,10009,Utrecht,25930466611140.0
2,2021-11-24,2020-04-07,21001,Walcheren,21786962896132.0
2,2021-11-24,2020-04-07,4026,Zwolle,29134316234109.0
2,2021-11-24,2020-04-08,12022,Beverwijk,23332742994216.0
2,2021-11-24,2020-04-08,7022,Etten,47084511637593.0
2,2021-11-24,2020-04-08,25020,Kaatsheuvel,32916046505097.0
2,2021-11-24,2020-04-08,25027,Lage Zwaluwe,35659731543624.0
2,2021-11-24,2020-04-08,6004,Lelystad,27447372708248.0
2,2021-11-24,2020-04-08,30007,Bosscherveld,80089846598451.0
2,2021-11-24,2020-04-08,5012,Oldenzaal,16047217365636.0
2,2021-11-24,2020-04-08,3028,Sleen,2085117546161.0
2,2021-11-24,2020-04-08,4027,Tollebeek,35818650868375.0
2,2021-11-24,2020-04-08,30020,Venray,19914372140790.0
2,2021-11-24,2020-04-09,27008,S Hertogenbosch,16666023428987.0
2,2021-11-24,2020-04-09,28005,Dinther,54545525990349.0
2,2021-11-24,2020-04-10,9016,Arnhem,15492220669114.0
2,2021-11-24,2020-04-13,10027,Amersfoort,12474474036300.0
2,2021-11-24,2020-04-13,1033,Garmerwolde,1609810441740.0
2,2021-11-24,2020-04-13,13010,Haarlem Waarderpolder,7882760893550.0
2,2021-11-24,2020-04-13,15005,Houtrust,17005917213479.0
2,2021-11-24,2020-04-13,29003,Land Van Cuijk,109345151591080.0
2,2021-11-24,2020-04-13,13030,Leimuiden,11085970756987.0
2,2021-11-24,2020-04-13,32002,Tilburg,48425681487961.0
2,2021-11-24,2020-04-14,3010,Assen,282108575925.0
2,2021-11-24,2020-04-14,2011,Leeuwarden,1410158201499.0
2,2021-11-24,2020-04-14,1008,Stadskanaal,2408271126650.0
2,2021-11-24,2020-04-14,10009,Utrecht,9353562984848.0
2,2021-11-24,2020-04-14,21001,Walcheren,3352100701824.0
2,2021-11-24,2020-04-14,4026,Zwolle,12433727305958.0
2,2021-11-24,2020-04-15,12022,Beverwijk,7140973409835.0
2,2021-11-24,2020-04-15,7022,Etten,15010133185240.0
2,2021-11-24,2020-04-15,29003,Land Van Cuijk,18978944670964.0
2,2021-11-24,2020-04-15,6004,Lelystad,7724851811472.0
2,2021-11-24,2020-04-15,30007,Bosscherveld,14564403447754.0
2,2021-11-24,2020-04-15,5012,Oldenzaal,7708053858905.0
2,2021-11-24,2020-04-15,3028,Sleen,644914741197.0
2,2021-11-24,2020-04-15,4027,Tollebeek,22884966032707.0
2,2021-11-24,2020-04-15,30020,Venray,7674306787415.0
2,2021-11-24,2020-04-16,27008,S Hertogenbosch,13074600435888.0
2,2021-11-24,2020-04-16,28005,Dinther,21454101633540.0
2,2021-11-24,2020-04-16,25020,Kaatsheuvel,5052326658991.0
2,2021-11-24,2020-04-16,25027,Lage Zwaluwe,7126006711409.0
2,2021-11-24,2020-04-16,23002,Terneuzen,1873663126866.0
2,2021-11-24,2020-04-17,9016,Arnhem,574586212753.0
2,2021-11-24,2020-04-19,10027,Amersfoort,4513887208128.0
2,2021-11-24,2020-04-19,13030,Leimuiden,7535813436979.0
2,2021-11-24,2020-04-20,13010,Haarlem Waarderpolder,2674361289028.0
2,2021-11-24,2020-04-20,15005,Houtrust,5176943032874.0
2,2021-11-24,2020-04-20,32002,Tilburg,8502297645610.0
2,2021-11-24,2020-04-21,3010,Assen,565043273013.0
2,2021-11-24,2020-04-21,2011,Leeuwarden,2772806974580.0
2,2021-11-24,2020-04-21,6004,Lelystad,8031880897778.0
2,2021-11-24,2020-04-21,1008,Stadskanaal,1001880374185.0
2,2021-11-24,2020-04-21,23002,Terneuzen,10245833490798.0
2,2021-11-24,2020-04-21,10009,Utrecht,5946871766907.0
2,2021-11-24,2020-04-21,4026,Zwolle,4203208643029.0
2,2021-11-24,2020-04-22,12022,Beverwijk,3559819858652.0
2,2021-11-24,2020-04-22,7022,Etten,27768824935292.0
2,2021-11-24,2020-04-22,1033,Garmerwolde,8587465185760.0
2,2021-11-24,2020-04-22,25020,Kaatsheuvel,8199724788677.0
2,2021-11-24,2020-04-22,25027,Lage Zwaluwe,3905486577181.0
2,2021-11-24,2020-04-22,30007,Bosscherveld,13539155199354.0
2,2021-11-24,2020-04-22,5012,Oldenzaal,3223904997616.0
2,2021-11-24,2020-04-22,3028,Sleen,70034305317324.0
2,2021-11-24,2020-04-22,30020,Venray,11456924656895.0
2,2021-11-24,2020-04-22,21001,Walcheren,1629030718914.0
2,2021-11-24,2020-04-23,27008,S Hertogenbosch,11334952778787.0
2,2021-11-24,2020-04-23,28005,Dinther,47031631358159.0
2,2021-11-24,2020-04-23,29003,Land Van Cuijk,22024839980866.0
2,2021-11-24,2020-04-23,4027,Tollebeek,181122550226690.0
2,2021-11-24,2020-04-26,13010,Haarlem Waarderpolder,4039999140266.0
2,2021-11-24,2020-04-27,10027,Amersfoort,7947097036530.0
2,2021-11-24,2020-04-27,15005,Houtrust,9344201736642.0
2,2021-11-24,2020-04-27,13030,Leimuiden,9732463446233.0
2,2021-11-24,2020-04-27,6004,Lelystad,7503991378122.0
2,2021-11-24,2020-04-27,32002,Tilburg,11707644315728.0
2,2021-11-24,2020-04-28,9016,Arnhem,1456322094345.0
2,2021-11-24,2020-04-28,3010,Assen,915011801730.0
2,2021-11-24,2020-04-28,29003,Land Van Cuijk,28427416231976.0
2,2021-11-24,2020-04-28,2011,Leeuwarden,2869941715237.0
2,2021-11-24,2020-04-28,1008,Stadskanaal,544092727330.0
2,2021-11-24,2020-04-28,23002,Terneuzen,36121310608064.0
2,2021-11-24,2020-04-28,10009,Utrecht,7682220371331.0
2,2021-11-24,2020-04-28,4026,Zwolle,5724625319849.0
2,2021-11-24,2020-04-29,12022,Beverwijk,2626202403948.0
2,2021-11-24,2020-04-29,28005,Dinther,11320839967992.0
2,2021-11-24,2020-04-29,7022,Etten,5321506986522.0
2,2021-11-24,2020-04-29,1033,Garmerwolde,2100649865806.0
2,2021-11-24,2020-04-29,25020,Kaatsheuvel,17188421466483.0
2,2021-11-24,2020-04-29,25027,Lage Zwaluwe,1087986577181.0
2,2021-11-24,2020-04-29,30007,Bosscherveld,15502396794193.0
2,2021-11-24,2020-04-29,5012,Oldenzaal,388969369452.0
2,2021-11-24,2020-04-29,3028,Sleen,1763212592069.0
2,2021-11-24,2020-04-29,4027,Tollebeek,14752610918782.0
2,2021-11-24,2020-04-29,30020,Venray,3525788441789.0
2,2021-11-24,2020-04-29,21001,Walcheren,2667192962671.0
2,2021-11-24,2020-04-30,9016,Arnhem,7950672118512.0
2,2021-11-24,2020-04-30,15005,Houtrust,2679498248557.0
2,2021-11-24,2020-05-01,13010,Haarlem Waarderpolder,2364076000516.0
2,2021-11-24,2020-05-03,10027,Amersfoort,1775329905153.0
2,2021-11-24,2020-05-03,9016,Arnhem,4327293628918.0
2,2021-11-24,2020-05-03,29003,Land Van Cuijk,12626136078905.0
2,2021-11-24,2020-05-05,3010,Assen,0.0
2,2021-11-24,2020-05-05,27008,S Hertogenbosch,5369605316927.0
2,2021-11-24,2020-05-05,28005,Dinther,15215447910183.0
2,2021-11-24,2020-05-05,2032,Harlingen,0.0
2,2021-11-24,2020-05-05,15005,Houtrust,6068931208578.0
2,2021-11-24,2020-05-05,2011,Leeuwarden,1063574472254.0
2,2021-11-24,2020-05-05,1008,Stadskanaal,5480928533182.0
2,2021-11-24,2020-05-05,32002,Tilburg,5001531736966.0
2,2021-11-24,2020-05-05,4027,Tollebeek,21485761258456.0
2,2021-11-24,2020-05-05,10009,Utrecht,3845390847057.0
2,2021-11-24,2020-05-05,4026,Zwolle,1886316559035.0
2,2021-11-24,2020-05-06,12022,Beverwijk,371013590274.0
2,2021-11-24,2020-05-06,7022,Etten,6191513035890.0
2,2021-11-24,2020-05-06,1033,Garmerwolde,8716000202556.0
2,2021-11-24,2020-05-06,25020,Kaatsheuvel,7004745991182.0
2,2021-11-24,2020-05-06,25027,Lage Zwaluwe,7400989932886.0
2,2021-11-24,2020-05-06,13030,Leimuiden,1980566352027.0
2,2021-11-24,2020-05-06,6004,Lelystad,5214105793451.0
2,2021-11-24,2020-05-06,30007,Bosscherveld,7829688996421.0
2,2021-11-24,2020-05-06,5012,Oldenzaal,690007038896.0
2,2021-11-24,2020-05-06,3028,Sleen,0.0
2,2021-11-24,2020-05-06,23002,Terneuzen,13568138014436.0
2,2021-11-24,2020-05-06,30020,Venray,5638166371020.0
2,2021-11-24,2020-05-06,21001,Walcheren,2022191184253.0
2,2021-11-24,2020-05-07,9016,Arnhem,0.0
2,2021-11-24,2020-05-07,13010,Haarlem Waarderpolder,9630357219619.0
2,2021-11-24,2020-05-09,6004,Lelystad,3672318508215.0
2,2021-11-24,2020-05-10,10027,Amersfoort,0.0
2,2021-11-24,2020-05-10,27008,S Hertogenbosch,8146340355976.0
2,2021-11-24,2020-05-10,28005,Dinther,6917417696554.0
2,2021-11-24,2020-05-10,29003,Land Van Cuijk,2445593494454.0
2,2021-11-24,2020-05-11,9016,Arnhem,254052959542.0
2,2021-11-24,2020-05-11,1033,Garmerwolde,1040831828233.0
2,2021-11-24,2020-05-11,15005,Houtrust,13483809429835.0
2,2021-11-24,2020-05-11,13030,Leimuiden,509050527484.0
2,2021-11-24,2020-05-11,32002,Tilburg,5715063839851.0
2,2021-11-24,2020-05-11,4027,Tollebeek,13528258759796.0
2,2021-11-24,2020-05-11,21001,Walcheren,984419324896.0
2,2021-11-24,2020-05-12,3010,Assen,306047731445.0
2,2021-11-24,2020-05-12,2032,Harlingen,0.0
2,2021-11-24,2020-05-12,2011,Leeuwarden,1334799431846.0
2,2021-11-24,2020-05-12,1008,Stadskanaal,0.0
2,2021-11-24,2020-05-12,10009,Utrecht,4408584479662.0
2,2021-11-24,2020-05-12,4026,Zwolle,1897599610089.0
2,2021-11-24,2020-05-13,12022,Beverwijk,1041411680414.0
2,2021-11-24,2020-05-13,27008,S Hertogenbosch,1616475208863.0
2,2021-11-24,2020-05-13,7022,Etten,0.0
2,2021-11-24,2020-05-13,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-05-13,25020,Kaatsheuvel,828110870847.0
2,2021-11-24,2020-05-13,25027,Lage Zwaluwe,1709697986577.0
2,2021-11-24,2020-05-13,30007,Bosscherveld,3723978023086.0
2,2021-11-24,2020-05-13,5012,Oldenzaal,2952249040667.0
2,2021-11-24,2020-05-13,3028,Sleen,8612576934719.0
2,2021-11-24,2020-05-13,23002,Terneuzen,3015343335475.0
2,2021-11-24,2020-05-13,30020,Venray,0.0
2,2021-11-24,2020-05-15,6004,Lelystad,4340451395416.0
2,2021-11-24,2020-05-16,21001,Walcheren,999210555994.0
2,2021-11-24,2020-05-17,10027,Amersfoort,3104489486916.0
2,2021-11-24,2020-05-17,9016,Arnhem,1493429045448.0
2,2021-11-24,2020-05-17,27008,S Hertogenbosch,3705752815111.0
2,2021-11-24,2020-05-17,28005,Dinther,4260800685424.0
2,2021-11-24,2020-05-17,15005,Houtrust,15367054779877.0
2,2021-11-24,2020-05-17,4027,Tollebeek,3052276315599.0
2,2021-11-24,2020-05-18,32002,Tilburg,4118040331650.0
2,2021-11-24,2020-05-19,3010,Assen,0.0
2,2021-11-24,2020-05-19,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-05-19,2032,Harlingen,0.0
2,2021-11-24,2020-05-19,29003,Land Van Cuijk,11548005740188.0
2,2021-11-24,2020-05-19,2011,Leeuwarden,0.0
2,2021-11-24,2020-05-19,1008,Stadskanaal,0.0
2,2021-11-24,2020-05-19,10009,Utrecht,5143885276333.0
2,2021-11-24,2020-05-19,4026,Zwolle,1347768165387.0
2,2021-11-24,2020-05-20,13030,Leimuiden,1456153988525.0
2,2021-11-24,2020-05-21,12022,Beverwijk,2462422450606.0
2,2021-11-24,2020-05-21,7022,Etten,39411664369230.0
2,2021-11-24,2020-05-21,25020,Kaatsheuvel,8162397146788.0
2,2021-11-24,2020-05-21,25027,Lage Zwaluwe,0.0
2,2021-11-24,2020-05-21,6004,Lelystad,4361767986265.0
2,2021-11-24,2020-05-21,30007,Bosscherveld,15656790496833.0
2,2021-11-24,2020-05-21,5012,Oldenzaal,0.0
2,2021-11-24,2020-05-21,3028,Sleen,0.0
2,2021-11-24,2020-05-21,30020,Venray,0.0
2,2021-11-24,2020-05-22,1033,Garmerwolde,5093462518779.0
2,2021-11-24,2020-05-22,23002,Terneuzen,0.0
2,2021-11-24,2020-05-22,21001,Walcheren,0.0
2,2021-11-24,2020-05-23,4027,Tollebeek,1168708084071.0
2,2021-11-24,2020-05-24,10027,Amersfoort,0.0
2,2021-11-24,2020-05-24,15005,Houtrust,13869916292532.0
2,2021-11-24,2020-05-25,9016,Arnhem,12228056538949.0
2,2021-11-24,2020-05-25,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-05-25,29003,Land Van Cuijk,2800414569144.0
2,2021-11-24,2020-05-25,13030,Leimuiden,1777012770683.0
