,time,"('susceptible', 'All')",susceptible,"('exposed', 'All')",exposed,"('infected (active)', 'All')",infected (active),"('infected (total)', 'All')",infected (total),"('removed', 'All')",removed,"('hospitalized (active)', 'All')",hospitalized (active),"('in ICU', 'All')",in ICU,"('deaths', 'All')",deaths
0,0.0,16830000.0,16830000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,0.0,0.0,,,,,,
1,1.0,16817001.603588883,16817001.603588883,72001.43957391652,72001.43957391652,97862.19062028348,97862.19062028348,111166.90659565275,111166.90659565275,13134.766216914977,13134.766216914977,,,,,,
2,2.0,16802571.241080213,16802571.241080213,63888.9668647191,63888.9668647191,105811.37357219151,105811.37357219151,133815.30766875867,133815.30766875867,27728.418482875986,27728.418482875986,,,,,,
3,3.0,16787264.533135187,16787264.533135187,58811.20274309534,58811.20274309534,110702.22698429575,110702.22698429575,154265.33593672776,154265.33593672776,43222.03713742233,43222.03713742233,,,,,,
4,4.0,16771427.278816385,16771427.278816385,55617.67177008499,55617.67177008499,113687.49149623088,113687.49149623088,173336.8150222578,173336.8150222578,59267.55791730036,59267.55791730036,,,,,,
5,5.0,16755274.887893675,16755274.887893675,53593.45242545101,53593.45242545101,115483.68560658638,115483.68560658638,191538.66905484715,191538.66905484715,75647.97407429019,75647.97407429019,,,,,,
6,6.0,16738941.75867531,16738941.75867531,52294.27029108098,52294.27029108098,116536.22609016494,116536.22609016494,209186.62284093583,209186.62284093583,92227.74494344462,92227.74494344462,,,,,,
7,7.0,16722511.959542217,16722511.959542217,51444.028460477435,51444.028460477435,117122.0367278008,117122.0367278008,226476.3392995289,226476.3392995289,108921.97526950839,108921.97526950839,,,,,,
8,8.0,16706038.288811367,16706038.288811367,50871.138477063745,50871.138477063745,117413.31352969188,117413.31352969188,243528.86712245242,243528.86712245242,125677.25918187984,125677.25918187984,,,,,,
9,9.0,16689554.11370353,16689554.11370353,50468.95961739954,50468.95961739954,117517.15343279115,117517.15343279115,260418.88347152964,260418.88347152964,142459.7732462819,142459.7732462819,,,,,,
10,10.0,16673080.723802943,16673080.723802943,50171.21685934215,50171.21685934215,117500.18452613022,117500.18452613022,277192.2462176533,277192.2462176533,159247.87481158765,159247.87481158765,,,,,,
11,11.0,16656631.898491206,16656631.898491206,49936.72525344339,49936.72525344339,117403.8756383665,117403.8756383665,293876.90323645086,293876.90323645086,176027.50061698767,176027.50061698767,,,,,,
12,12.0,16640216.743985206,16640216.743985206,49739.89668828444,49739.89668828444,117254.05327826248,117254.05327826248,310489.6735600722,310489.6735600722,192789.30604825157,192789.30604825157,,,,,,
