Leeftijdsgroep,Date
0-4 74 5390 1.4 59 4312 1.4,2020-10-06
5-9 226 22275 1.0 226 19202 1.2,2020-10-06
10-14 1078 66681 1.6 993 56469 1.8,2020-10-06
15-19 3504 88491 4.0 4005 97357 4.1,2020-10-06
20-24 6340 89878 7.1 6589 119737 5.5,2020-10-06
25-29 4671 86668 5.4 4747 123059 3.9,2020-10-06
30-34 3347 90075 3.7 3523 131536 2.7,2020-10-06
35-39 2591 84353 3.1 2877 118785 2.4,2020-10-06
40-44 2216 69740 3.2 2693 96234 2.8,2020-10-06
45-49 2459 59350 4.1 2920 81424 3.6,2020-10-06
50-54 2828 55549 5.1 3122 74425 4.2,2020-10-06
55-59 2458 48348 5.1 2331 66538 3.5,2020-10-06
60-64 1747 42940 4.1 1609 57745 2.8,2020-10-06
65-69 952 33168 2.9 891 39926 2.2,2020-10-06
70-74 636 25135 2.5 627 27080 2.3,2020-10-06
75-79 333 12969 2.6 317 13997 2.3,2020-10-06
80-84 177 6825 2.6 192 7431 2.6,2020-10-06
85-89 59 2727 2.2 100 3185 3.1,2020-10-06
90-94 26 690 3.8 41 1058 3.9,2020-10-06
95+ 5 125 4.0 9 215 4.2,2020-10-06
