Leeftijdsgroep,Date
0-4 159 6239 2.5 145 5036 2.9,2020-11-03
5-9 769 25159 3.1 678 21784 3.1,2020-11-03
10-14 4326 90514 4.8 4163 77766 5.4,2020-11-03
15-19 12122 142896 8.5 13558 157700 8.6,2020-11-03
20-24 16815 149332 11.3 18260 193246 9.4,2020-11-03
25-29 13798 145815 9.5 14300 198103 7.2,2020-11-03
30-34 11263 149459 7.5 12175 210092 5.8,2020-11-03
35-39 9438 138649 6.8 10761 189507 5.7,2020-11-03
40-44 8945 115633 7.7 10753 157133 6.8,2020-11-03
45-49 10243 101696 10.1 12078 138018 8.8,2020-11-03
50-54 12105 99186 12.2 12924 130149 9.9,2020-11-03
55-59 10904 87198 12.5 10313 114195 9.0,2020-11-03
60-64 8101 74855 10.8 7330 96014 7.6,2020-11-03
65-69 4982 55546 9.0 4707 65326 7.2,2020-11-03
70-74 3736 40898 9.1 3508 43751 8.0,2020-11-03
75-79 1930 20421 9.5 1982 22472 8.8,2020-11-03
80-84 1119 10799 10.4 1202 12160 9.9,2020-11-03
85-89 433 4229 10.2 616 5430 11.3,2020-11-03
90-94 129 1099 11.7 225 1856 12.1,2020-11-03
95+ 161 526 30.6 172 723 23.8,2020-11-03
