Leeftijdsgroep,2021-04-20 00:00:00,Vanaf 1 februari,Afgelopen kalenderweek1,Date
0 - 3 58044,,3453 5.9,9704 499 5.1,2021-04-20
4 - 12 678817,,39463 5.8,87746 5137 5.9,2021-04-20
13 - 17 232940,,24812 10.7,32083 3705 11.5,2021-04-20
18 - 24 470333,,51776 11.0,56471 7144 12.7,2021-04-20
25 - 29 341859,,30303 8.9,39178 4010 10.2,2021-04-20
30 - 39 785889,,56812 7.2,82240 7005 8.5,2021-04-20
40 - 49 616629,,55782 9.0,65207 7250 11.1,2021-04-20
50 - 59 531037,,62648 11.8,58771 8033 13.7,2021-04-20
60 - 69 389965,,38128 9.8,40809 4439 10.9,2021-04-20
70 - 79 181025,,19409 10.7,17608 2329 13.2,2021-04-20
80+ 46391,,6261 13.5,3341 412 12.3,2021-04-20
