Leeftijdsgroep,2021-07-06 00:00:00,2021-07-06 00:00:00,"Getest,",Date
0 - 3,2323 1.6,376 5.9,1947 0.8,2021-07-06
4 - 12,18925 1.8,2892 6.5,16033 1.0,2021-07-06
13 - 17,12608 4.0,2019 8.7,10589 3.1,2021-07-06
18 - 24,31230 10.5,4594 21.8,26636 8.5,2021-07-06
25 - 29,15268 5.1,1472 13.6,13796 4.2,2021-07-06
30 - 39,26299 3.3,1766 11.3,24533 2.7,2021-07-06
40 - 49,19311 2.7,1868 8.4,17443 2.1,2021-07-06
50 - 59,15350 3.0,2124 7.7,13226 2.2,2021-07-06
60 - 69,8792 1.7,695 6.9,8097 1.3,2021-07-06
70 - 79,3174 1.1,292 3.8,2882 0.8,2021-07-06
80+,723 1.5,63 6.3,660 1.1,2021-07-06
0 - 3,69124 5.7,22343 10.6,46781 3.3,2021-07-06
4 - 12,597661 5.7,192536 9.8,405125 3.8,2021-07-06
13 - 17,252736 10.9,76795 14.6,175941 9.2,2021-07-06
18 - 24,483293 12.4,92139 14.9,391154 11.8,2021-07-06
25 - 29,314038 9.7,44432 13.3,269606 9.1,2021-07-06
30 - 39,638303 7.9,78930 14.3,559373 7.0,2021-07-06
40 - 49,498588 10.2,95825 14.8,402763 9.1,2021-07-06
50 - 59,442490 12.5,95544 15.3,346946 11.7,2021-07-06
60 - 69,286140 9.7,47221 15.4,238919 8.6,2021-07-06
70 - 79,119289 11.2,22466 16.9,96823 9.9,2021-07-06
80+,26520 9.3,6017 12.8,20503 8.3,2021-07-06
