Leeftijdsgroep,2021-08-17 00:00:00,2021-08-17 00:00:00,"Getest,",Date
0 - 3,2064 9.2,714 13.2,1350 7.0,2021-08-17
4 - 12,5666 19.2,1986 24.6,3680 16.3,2021-08-17
13 - 17,6006 22.2,1838 21.9,4168 22.4,2021-08-17
18 - 24,18019 21.2,4619 21.1,13400 21.2,2021-08-17
25 - 29,11466 15.6,2642 18.1,8824 14.8,2021-08-17
30 - 39,19228 13.1,3512 18.1,15716 12.0,2021-08-17
40 - 49,12479 13.3,2750 17.1,9729 12.2,2021-08-17
50 - 59,13158 11.5,3227 13.8,9931 10.7,2021-08-17
60 - 69,9739 8.6,1476 15.4,8263 7.4,2021-08-17
70 - 79,4777 7.2,567 17.5,4210 5.8,2021-08-17
80+,1608 8.8,192 17.2,1416 7.7,2021-08-17
0 - 3,35637 4.5,10631 8.4,25006 2.8,2021-08-17
4 - 12,228012 5.4,71232 8.8,156780 3.9,2021-08-17
13 - 17,149290 14.1,48176 15.5,101114 13.4,2021-08-17
18 - 24,377422 21.9,136614 20.4,240808 22.7,2021-08-17
25 - 29,211236 14.5,63983 15.1,147253 14.3,2021-08-17
30 - 39,320043 9.4,66323 13.1,253720 8.4,2021-08-17
40 - 49,225062 8.5,56532 11.1,168530 7.7,2021-08-17
50 - 59,207106 8.6,66397 10.1,140709 7.9,2021-08-17
60 - 69,119449 6.0,21336 10.4,98113 5.1,2021-08-17
70 - 79,49461 4.7,6991 9.1,42470 4.0,2021-08-17
80+,14825 6.5,2170 10.9,12655 5.8,2021-08-17
