Leeftijdsgroep,2021-08-31 00:00:00,2021-08-31 00:00:00,"Getest,",Date
0 - 3,2509 10.4,831 17.6,1678 6.8,2021-08-31
4 - 12,12325 15.5,4611 18.2,7714 13.9,2021-08-31
13 - 17,7704 19.1,2079 21.8,5625 18.0,2021-08-31
18 - 24,22082 13.8,4124 18.4,17958 12.7,2021-08-31
25 - 29,12111 13.8,2348 17.9,9763 12.8,2021-08-31
30 - 39,21013 13.5,3627 19.4,17386 12.3,2021-08-31
40 - 49,15888 13.2,3304 16.8,12584 12.3,2021-08-31
50 - 59,14166 10.9,2954 15.9,11212 9.6,2021-08-31
60 - 69,9892 8.9,1420 18.3,8472 7.3,2021-08-31
70 - 79,4945 8.5,555 19.1,4390 7.2,2021-08-31
80+,1648 9.9,174 15.5,1474 9.2,2021-08-31
0 - 3,40021 5.1,12091 9.3,27930 3.3,2021-08-31
4 - 12,247193 6.3,77949 9.8,169244 4.7,2021-08-31
13 - 17,164000 14.6,52096 16.1,111904 13.9,2021-08-31
18 - 24,422411 21.1,144715 20.4,277696 21.4,2021-08-31
25 - 29,234330 14.5,68629 15.3,165701 14.2,2021-08-31
30 - 39,359514 9.9,73153 13.6,286361 8.9,2021-08-31
40 - 49,254582 9.1,62652 11.7,191930 8.3,2021-08-31
50 - 59,234712 8.9,72300 10.5,162412 8.2,2021-08-31
60 - 69,138917 6.4,24093 11.2,114824 5.4,2021-08-31
70 - 79,59192 5.2,8056 10.1,51136 4.4,2021-08-31
80+,18239 7.1,2550 11.5,15689 6.4,2021-08-31
