Leeftijdsgroep,2021-09-14 00:00:00,2021-09-14 00:00:00,"Getest,",Date
0 - 3,3002 7.9,1064 13.1,1938 5.0,2021-09-14
4 - 12,36592 8.9,16548 9.6,20044 8.3,2021-09-14
13 - 17,16322 8.8,3360 12.6,12962 7.8,2021-09-14
18 - 24,20402 8.8,3192 14.4,17210 7.8,2021-09-14
25 - 29,13979 9.8,2249 16.1,11730 8.6,2021-09-14
30 - 39,25657 9.6,4293 16.0,21364 8.3,2021-09-14
40 - 49,20812 9.4,4395 14.7,16417 7.9,2021-09-14
50 - 59,15761 8.6,2688 15.3,13073 7.2,2021-09-14
60 - 69,10301 8.1,1385 16.2,8916 6.9,2021-09-14
70 - 79,5113 7.8,578 18.5,4535 6.5,2021-09-14
80+,1800 10.4,201 23.9,1599 8.8,2021-09-14
0 - 3,45716 5.5,14006 9.9,31710 3.6,2021-09-14
4 - 12,309936 7.1,106072 10.1,203864 5.5,2021-09-14
13 - 17,190880 14.1,58065 15.9,132815 13.3,2021-09-14
18 - 24,469323 19.9,151753 20.1,317570 19.7,2021-09-14
25 - 29,262724 14.1,73144 15.5,189580 13.5,2021-09-14
30 - 39,409416 9.9,81403 14.0,328013 8.9,2021-09-14
40 - 49,293971 9.3,70746 12.2,223225 8.4,2021-09-14
50 - 59,265734 8.9,77847 10.8,187887 8.2,2021-09-14
60 - 69,159644 6.7,26893 11.8,132751 5.6,2021-09-14
70 - 79,69284 5.6,9188 11.2,60096 4.7,2021-09-14
80+,21632 7.6,2941 12.8,18691 6.8,2021-09-14
