Leeftijdsgroep,2021-11-09 00:00:00,2021-11-09 00:00:00,"Getest,",Date
0 - 3,4767 10.8,1529 16.2,3238 8.2,2021-11-09
4 - 12,41978 23.5,16762 24.9,25216 22.6,2021-11-09
13 - 17,24662 16.3,7233 18.3,17429 15.4,2021-11-09
18 - 24,44048 14.9,12547 16.5,31501 14.2,2021-11-09
25 - 29,36023 15.5,9659 18.0,26364 14.5,2021-11-09
30 - 39,69462 15.9,17351 19.2,52111 14.8,2021-11-09
40 - 49,60171 16.6,15970 19.4,44201 15.5,2021-11-09
50 - 59,58629 16.4,13826 20.2,44803 15.2,2021-11-09
60 - 69,44898 17.2,8985 23.9,35913 15.5,2021-11-09
70 - 79,24578 20.4,4469 29.5,20109 18.4,2021-11-09
80+,8615 23.7,1577 30.1,7038 22.3,2021-11-09
0 - 3,36448 9.2,11801 15.2,24647 6.3,2021-11-09
4 - 12,288200 15.6,112981 18.2,175219 13.9,2021-11-09
13 - 17,175226 13.3,41248 18.0,133978 11.9,2021-11-09
18 - 24,338533 12.2,64224 17.0,274309 11.1,2021-11-09
25 - 29,240722 11.9,43922 17.7,196800 10.6,2021-11-09
30 - 39,427983 12.2,76201 18.7,351782 10.8,2021-11-09
40 - 49,338673 12.9,72169 18.3,266504 11.4,2021-11-09
50 - 59,301664 12.3,58953 18.1,242711 10.9,2021-11-09
60 - 69,216816 12.4,33801 22.4,183015 10.5,2021-11-09
70 - 79,110715 14.6,16128 26.5,94587 12.6,2021-11-09
80+,37881 17.3,5752 26.5,32129 15.7,2021-11-09
