Leeftijdsgroep,2022-01-04 00:00:00,2022-01-04 00:00:00,"Getest,",Date
0 - 3,6195 19.7,2074 23.8,4121 17.7,2022-01-04
4 - 12,22517 33.5,8246 32.2,14271 34.3,2022-01-04
13 - 17,17601 34.9,7610 30.4,9991 38.2,2022-01-04
18 - 24,49927 35.6,22843 32.2,27084 38.5,2022-01-04
25 - 29,39484 31.5,16105 29.8,23379 32.7,2022-01-04
30 - 39,66391 29.2,22363 30.5,44028 28.5,2022-01-04
40 - 49,48631 31.0,16560 29.8,32071 31.7,2022-01-04
50 - 59,51646 31.6,19308 30.2,32338 32.5,2022-01-04
60 - 69,32288 27.1,10280 28.3,22008 26.6,2022-01-04
70 - 79,14553 24.6,3956 25.2,10597 24.4,2022-01-04
80+,4929 17.5,1248 16.0,3681 18.0,2022-01-04
0 - 3,101496 14.0,28486 19.1,73010 11.9,2022-01-04
4 - 12,809128 24.7,269281 24.6,539847 24.8,2022-01-04
13 - 17,386679 17.3,116867 17.3,269812 17.3,2022-01-04
18 - 24,594123 18.0,186492 19.3,407631 17.4,2022-01-04
25 - 29,463760 18.1,130757 20.6,333003 17.2,2022-01-04
30 - 39,959277 18.8,249842 22.4,709435 17.5,2022-01-04
40 - 49,835656 19.7,238772 22.0,596884 18.8,2022-01-04
50 - 59,665547 20.4,176601 23.3,488946 19.4,2022-01-04
60 - 69,457091 21.8,103616 27.6,353475 20.1,2022-01-04
70 - 79,228558 24.8,45709 30.8,182849 23.2,2022-01-04
80+,78480 26.6,13719 30.7,64761 25.7,2022-01-04
