Leeftijdsgroep,2022-01-18 00:00:00,2022-01-18 00:00:00,"Getest,",Date
0 - 3,8143 25.4,2953 25.3,5190 25.5,2022-01-18
4 - 12,57572 48.6,18731 42.9,38841 51.4,2022-01-18
13 - 17,67930 43.3,29918 32.2,38012 51.9,2022-01-18
18 - 24,123212 38.5,62755 30.8,60457 46.5,2022-01-18
25 - 29,72428 36.8,33287 30.6,39141 42.1,2022-01-18
30 - 39,109547 37.9,40536 33.5,69011 40.5,2022-01-18
40 - 49,95087 36.4,35312 30.5,59775 39.9,2022-01-18
50 - 59,99037 30.8,43309 24.8,55728 35.5,2022-01-18
60 - 69,41581 26.6,14592 22.6,26989 28.8,2022-01-18
70 - 79,15237 22.4,4175 22.6,11062 22.3,2022-01-18
80+,5049 18.9,1158 19.3,3891 18.8,2022-01-18
0 - 3,114608 15.2,33116 20.0,81492 13.3,2022-01-18
4 - 12,895212 26.7,297541 26.1,597671 27.0,2022-01-18
13 - 17,487734 22.5,161357 21.4,326377 22.9,2022-01-18
18 - 24,845904 24.2,317453 24.5,528451 23.9,2022-01-18
25 - 29,616325 22.6,202164 24.0,414161 21.9,2022-01-18
30 - 39,1163728 21.8,325750 24.7,837978 20.7,2022-01-18
40 - 49,999261 22.4,298291 23.7,700970 21.9,2022-01-18
50 - 59,852883 22.6,258499 23.7,594384 22.1,2022-01-18
60 - 69,539079 22.3,132303 26.5,406776 21.0,2022-01-18
70 - 79,259949 24.4,54280 29.3,205669 23.1,2022-01-18
80+,89229 25.5,16240 28.6,72989 24.8,2022-01-18
